Wall:R-Value:Input,Window:U-Value:Input,SHGC:NA:Input,Roof:NA:Input,Res HRV:(%):Input,SHW:Type:Input,SHW Reduce:NA:Input,Appliances:NA:Input,MUA:NA:Input,TEUI:(kWh/m2):Output:120,GHGI:(kgCO2/m2):Output:100,TEDI:(kWh/m2):Output:200,LEED:Pts:Output:100,Energy Cost:($):Output:100,NPV:NA:Output:100
R-ip 15,U-ip 0.25,0.25,20,60,Gas,0,N,HP,113.7,5.9,35.7,0,285354,1218357
R-ip 15,U-ip 0.38,0.4,30,60,Gas,0,N,HP,115.4,5.9,37.7,0,290084,1285678
R-ip 15,U-ip 0.38,0.4,20,60,Gas,0,N,HP,116,5.9,38.4,0,291854,1310870
R-ip 15,U-ip 0.38,0.25,30,60,Gas,0,N,HP,116.9,6,39.8,0,294495,1348452
R-ip 15,U-ip 0.38,0.25,20,60,Gas,0,N,HP,117.6,6,40.5,0,296420,1375861
R-ip 8,U-ip 0.15,0.4,30,60,Renew Gas,0,N,HP,113.1,1.1,34.5,6,297121,1385833
R-ip 8,U-ip 0.15,0.4,20,60,Renew Gas,0,N,HP,113.7,1.1,35.1,6,298682,1408058
R-ip 8,U-ip 0.15,0.25,30,60,Renew Gas,0,N,HP,114.3,1.1,36.1,6,300375,1432150
R-ip 8,U-ip 0.15,0.25,20,60,Renew Gas,0,N,HP,114.9,1.1,36.9,6,302123,1457027
R-ip 8,U-ip 0.25,0.4,30,60,Renew Gas,0,N,HP,115.7,1.1,37.8,6,304482,1490616
R-ip 8,U-ip 0.25,0.4,20,60,Renew Gas,0,N,HP,116.4,1.1,38.5,6,306248,1515744
R-ip 8,U-ip 0.25,0.25,30,60,Renew Gas,0,N,HP,117.3,1.1,39.8,6,308880,1553214
R-ip 8,U-ip 0.25,0.25,20,60,Renew Gas,0,N,HP,118,1.1,40.6,5,310771,1580118
R-ip 8,U-ip 0.38,0.4,30,60,Renew Gas,0,N,HP,119.8,1.1,42.7,4,315751,1651000
R-ip 8,U-ip 0.38,0.4,20,60,Renew Gas,0,N,HP,120.4,1.1,43.5,4,317635,1677829
R-ip 8,U-ip 0.38,0.25,30,60,Renew Gas,0,N,HP,121.7,1.1,45.1,4,321194,1728484
R-ip 8,U-ip 0.38,0.25,20,60,Renew Gas,0,N,HP,122.4,1.2,45.8,4,323220,1757318
R-ip 15,U-ip 0.15,0.4,30,60,Renew Gas,0,N,HP,110.2,1,30.6,0,288830,1267833
R-ip 15,U-ip 0.15,0.4,20,60,Renew Gas,0,N,HP,110.5,1,31.1,0,289890,1282917
R-ip 15,U-ip 0.15,0.25,30,60,Renew Gas,0,N,HP,110.8,1,31.9,0,290736,1294950
R-ip 15,U-ip 0.15,0.25,20,60,Renew Gas,0,N,HP,111.3,1,32.4,0,292003,1312986
R-ip 15,U-ip 0.25,0.4,30,60,Renew Gas,0,N,HP,112,1,33.4,0,293987,1341232
R-ip 15,U-ip 0.25,0.4,20,60,Renew Gas,0,N,HP,112.5,1,34,0,295396,1361279
R-ip 15,U-ip 0.25,0.25,30,60,Renew Gas,0,N,HP,113.1,1.1,35,0,297011,1384271
R-ip 15,U-ip 0.25,0.25,20,60,Renew Gas,0,N,HP,113.7,1.1,35.7,0,298674,1407936
R-ip 15,U-ip 0.38,0.4,30,60,Renew Gas,0,N,HP,115.4,1.1,37.7,0,303403,1475256
R-ip 15,U-ip 0.38,0.4,20,60,Renew Gas,0,N,HP,116,1.1,38.4,0,305173,1500448
R-ip 15,U-ip 0.38,0.25,30,60,Renew Gas,0,N,HP,116.9,1.1,39.8,0,307814,1538031
R-ip 15,U-ip 0.38,0.25,20,60,Renew Gas,0,N,HP,117.6,1.1,40.5,0,309739,1565440
R-ip 8,U-ip 0.15,0.4,30,60,ASHP,0,N,HP,98.7,1.3,34.5,6,328872,2569084
R-ip 8,U-ip 0.15,0.4,20,60,ASHP,0,N,HP,99.3,1.3,35.1,6,330433,2591309
R-ip 8,U-ip 0.15,0.25,30,60,ASHP,0,N,HP,99.9,1.3,36.1,6,332126,2615401
R-ip 8,U-ip 0.15,0.25,20,60,ASHP,0,N,HP,100.5,1.3,36.9,6,333873,2640278
